State_Year,Year,State,Other,Sheltered,Unsheltered
2007_AK,2007,AK,3562,2995,567
2007_AL,2007,AL,11897,8075,3822
2007_AR,2007,AR,8524,4979,3545
2007_AZ,2007,AZ,32096,17886,14210
2007_CA,2007,CA,318313,102972,215341
2007_CO,2007,CO,30500,14346,16154
2007_CT,2007,CT,9987,7938,2049
2007_DC,2007,DC,12400,11399,1001
2007_DE,2007,DE,2272,1784,488
2007_FL,2007,FL,103601,42900,60701
2007_GA,2007,GA,41762,17790,23972
2007_GU,2007,GU,1450,206,1244
2007_HI,2007,HI,12918,5556,7362
2007_IA,2007,IA,5775,5107,668
2007_ID,2007,ID,3593,2287,1306
2007_IL,2007,IL,33655,25776,7879
2007_IN,2007,IN,15410,12642,2768
2007_KS,2007,KS,3984,3505,479
2007_KY,2007,KY,16696,12231,4465
2007_LA,2007,LA,11550,8060,3490
2007_MA,2007,MA,33044,29482,3562
2007_MD,2007,MD,20806,13585,7221
2007_ME,2007,ME,5373,5219,154
2007_MI,2007,MI,59306,24031,35275
2007_MN,2007,MN,16060,12723,3337
2007_MO,2007,MO,14112,11461,2651
2007_MS,2007,MS,3347,1871,1476
2007_MT,2007,MT,2383,1745,638
2007_NC,2007,NC,25249,16604,8645
2007_ND,2007,ND,1352,1225,127
2007_NE,2007,NE,7847,6500,1347
2007_NH,2007,NH,4863,2809,2054
2007_NJ,2007,NJ,37153,31254,5899
2007_NM,2007,NM,6741,3741,3000
2007_NV,2007,NV,18155,9827,8328
2007_NY,2007,NY,131678,116975,14703
2007_OH,2007,OH,24836,20361,4475
2007_OK,2007,OK,9221,6573,2648
2007_OR,2007,OR,38009,17745,20264
2007_PA,2007,PA,34029,30396,3633
2007_PR,2007,PR,11522,3321,8201
2007_RI,2007,RI,2878,2736,142
2007_SC,2007,SC,11893,6539,5354
2007_SD,2007,SD,1262,1155,107
2007_TN,2007,TN,25187,13788,11399
2007_TX,2007,TX,87507,49054,38453
2007_UT,2007,UT,6823,5884,939
2007_VA,2007,VA,21455,16057,5398
2007_VI,2007,VI,1605,144,1461
2007_VT,2007,VT,2261,1500,761
2007_WA,2007,WA,49361,35047,14314
2007_WI,2007,WI,11985,10638,1347
2007_WV,2007,WV,5969,5352,617
2007_WY,2007,WY,1112,794,318
2008_AK,2008,AK,3731,3259,472
2008_AL,2008,AL,11826,8265,3561
2008_AR,2008,AR,7403,4532,2871
2008_AZ,2008,AZ,28073,15163,12910
